Název produktu,URL
TFRPM01: Drone RPM tachometer sensor,https://lectronz.com/products/1055
TFGPS01: Drone multi-constellation GNSS receiver,https://lectronz.com/products/1057
TFSLOT01: Clogging-Free Airspeed Sensor for UAVs,https://lectronz.com/products/1058
TFI2CEXT01: Pixhawk I2C bus extender,https://lectronz.com/products/1059
TFCABxxI2C01: I2C cable for pixhawk drones.,https://lectronz.com/products/1060
TFPITOT01: Lightweight Compact Pitot-tube Sensor,https://lectronz.com/products/1062
TFI2CADT01: Pixhawk I2C address translator,https://lectronz.com/products/1063
TFHT01: Aerial drone hygrometer and thermometer,https://lectronz.com/products/1064
TFPROBE: IR and magnetic probe for RPM measurement,https://lectronz.com/products/1065
TFUSBSERIAL01 - Drone USB-C to serial converter,https://lectronz.com/products/1066
TFSIK01: High-Performance UAV Telemetry Modem,https://lectronz.com/products/1067
TFGPSLITE02 - Compact GNSS Module for UAVs,https://lectronz.com/products/1068
